date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-08-25,953.0,260298.0,4.0,35441.0,45798.0,3883814.0,4305.162589526734,586.1714931940198,64235.80180208908
2020-08-26,876.0,261174.0,4.0,35445.0,58054.0,3941868.0,4319.651069762562,586.2376506380191,65195.97786557164
2020-08-27,1366.0,262540.0,13.0,35458.0,57640.0,3999508.0,4342.243836888292,586.4526623310165,66149.3066336003
2020-08-28,1409.0,263949.0,5.0,35463.0,65135.0,4064643.0,4365.547796537015,586.5353591360156,67226.59791232247
2020-08-29,1460.0,265409.0,9.0,35472.0,64294.0,4128937.0,4389.695263596727,586.6842133850138,68289.9795884438
2020-08-30,1444.0,266853.0,1.0,35473.0,53541.0,4182478.0,4413.578100880443,586.7007527460136,69175.51351573426
2020-08-31,1365.0,268218.0,4.0,35477.0,42583.0,4225061.0,4436.154328645174,586.7669101900128,69879.80912518887
2020-09-01,996.0,269214.0,6.0,35483.0,54395.0,4279456.0,4452.627532200978,586.8661463560117,70779.46766677315
2020-09-02,975.0,270189.0,8.0,35491.0,,,4468.753409175786,586.9984612440101,
2020-09-03,1326.0,271515.0,6.0,35497.0,,,4490.684601861525,587.0976974100089,
